"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\main.dart", "Dart", 14, 0, 1, 15
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\general_provider_state_model.dart", "Dart", 47, 1, 3, 51
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\providers\general_provider.dart", "Dart", 18, 137, 5, 160
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\add_command_screen.dart", "Dart", 0, -172, -1, -173
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen.dart", "Dart", -668, -33, -52, -753
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen\control_screen.dart", "Dart", 354, 7, 30, 391
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen\widgets\function_buttons_widget.dart", "Dart", 257, 0, 7, 264
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen\widgets\sensor_box_widget.dart", "Dart", 211, 26, 26, 263
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\function_details_screen.dart", "Dart", 167, 2, 15, 184
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\functions_screen.dart", "Dart", 9, 1, 2, 12
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\settings_screen.dart", "Dart", 24, 0, 0, 24
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\api.dart", "Dart", -7, 0, -1, -8
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\dialog_utils.dart", "Dart", 0, 0, 1, 1
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\function_utils.dart", "Dart", -16, 0, -2, -18
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\snackbar.dart", "Dart", 7, 0, -3, 4
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\widgets\custom_stick.dart", "Dart", 49, 4, -1, 52
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\widgets\runing_function_dialog_widget.dart", "Dart", 11, 0, 2, 13
"Total", "-", 477, -27, 32, 482
