"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\consts.dart", "Dart", 2, 1, 2, 5
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\main.dart", "Dart", 39, 3, 4, 46
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\general_provider_state_model.dart", "Dart", 47, 1, 3, 51
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\move_function_model.dart", "Dart", 16, 0, 7, 23
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\move_function_model.freezed.dart", "Dart", 71, 25, 42, 138
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\models\move_function_model.g.dart", "Dart", 14, 4, 5, 23
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\providers\general_provider.dart", "Dart", 118, 154, 24, 296
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen\control_screen.dart", "Dart", 354, 7, 30, 391
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen\widgets\function_buttons_widget.dart", "Dart", 257, 0, 7, 264
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\control_screen\widgets\sensor_box_widget.dart", "Dart", 211, 26, 26, 263
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\function_details_screen.dart", "Dart", 380, 10, 28, 418
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\functions_screen.dart", "Dart", 173, 1, 10, 184
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\settings_screen.dart", "Dart", 106, 0, 8, 114
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\api.dart", "Dart", 116, 9, 15, 140
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\dialog_utils.dart", "Dart", 0, 0, 1, 1
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\local_utils.dart", "Dart", 27, 0, 7, 34
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\utils\snackbar.dart", "Dart", 37, 0, 4, 41
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\widgets\custom_stick.dart", "Dart", 136, 4, 16, 156
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\widgets\runing_function_dialog_widget.dart", "Dart", 116, 1, 11, 128
"Total", "-", 2220, 246, 250, 2716
